year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,work place city,work place state,work place 2,work place 2 state or country
1975,33,paul kos,1942,rock springs,wyoming,san francisco,california,,
1995,48,david knudsvig,1947,stoughton,wisconsin,new york,new york,,
2010,33,lesley vance,1977,milwaukee,wisconsin,los angeles,california,,
2010,30,josh brand,1980,elkhorn,wisconsin,brooklyn,new york,,
1993,50,ernie gehr,1943,wisconsin,wisconsin,san francisco,california,,
1983,40,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,
1981,38,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,
2008,45,mk guth,1963,stevens point,wisconsin,portland,oregon,,
1975,42,robert j. warrens,1933,sheboygan,wisconsin,baton rouge,louisiana,,
1975,38,gene beery,1937,racine,wisconsin,petaluma,california,,
2006,64,james benning,1942,milwaukee,wisconsin,val verde,california,,
2002,49,scott stark,1953,milwaukee,wisconsin,san francisco,california,,
1983,41,james benning,1942,milwaukee,wisconsin,new york,new york,,
1981,39,james benning,1942,milwaukee,wisconsin,new york,new york,,
1979,36,james benning,1943,milwaukee,wisconsin,del mar,california,,
1975,34,robert thiele,1941,milwaukee,wisconsin,miami beach,florida,,
1981,34,arthur ollman,1947,milwaukee,wisconsin,oakland,california,,
2002,33,mary flanagan,1969,milwaukee,wisconsin,eugene,oregon,,
1975,29,john s. gordon,1946,milwaukee,wisconsin,venice,california,,
2000,27,sadie benning,1973,milwaukee,wisconsin,chicago,illinois,,
1975,33,thomas m. uttech,1942,merrill,wisconsin,milwaukee,wisconsin,,
1975,25,paula nees,1950,madison,wisconsin,middleton,wisconsin,,
1993,20,sadie benning,1973,madison,wisconsin,buffalo,new york,,
2008,39,corey mccorkle,1969,la crosse,wisconsin,new york,new york,,
2014,57,david robbins,1957,whitefish bay,wisconsin,shorewood,wisconsin,,
2014,50,paul druecke,1964,milwaukee,wisconsin,milwaukee,wisconsin,,
2014,36,philip vanderhyden,1978,menasha,wisconsin,new york,new york,,
2004,30,aida ruilova,1974,wheeling,west virginia,new york,new york,,
1975,28,jan lee mccomas,1947,huntington,west virginia,dallas,texas,,
1975,39,bill richards,1936,grantsville,west virginia,philadelphia,pennsylvania,,
1989,30,ashley bickerton,1959,barbados,west indies,new york,new york,,
1995,42,nan goldin,1953,,washington dc,new york,new york,,
2010,55,jim lutes,1955,fort lewis,washington,chicago,illinois,,
2004,62,morgan fisher,1942,,washington dc,santa monica,california,,
1983,59,richard artschwager,1924,,washington dc,new york,new york,charlottesville,new york
1973,53,gene davis,1920,,washington dc,washington dc,washington d.c.,,
1985,52,douglas davis,1933,,washington dc,new york,new york,,
1989,48,martin puryear,1941,,washington dc,chicago,illinois,,
2004,45,bruce mcclure,1959,,washington dc,brooklyn,new york,,
1985,43,morgan fisher,1942,,washington dc,santa monica,california,,
2002,43,bruce mcclure,1959,,washington dc,brooklyn,new york,,
1981,40,martin puryeur,1941,,washington dc,chicago,illinois,,
1993,40,nan goldin,1953,,washington dc,new york,new york,,
1979,38,martin puryear,1941,,washington dc,chicago,illinois,,washington dc
1985,37,dan reeves,1948,,washington dc,interlaken,new york,,
2004,37,deborah stratman,1967,,washington dc,chicago,illinois,,
1975,35,leonard l. hunter iii,1940,,washington dc,lexington,kentucky,,
1991,35,cady noland,1956,,washington dc,bronxville,new york,,
2002,35,margaret kilgallen,1967,,washington dc,san francisco,california,,
2004,33,jeremy blake,1971,,washington dc,los angeles,california,,
1985,32,nan goldin,1953,,washington dc,new york,new york,,
2006,30,yuri masnyj,1976,,washington dc,new york,new york,,
1973,30,tony robbin,1943,,washington dc,new york,new york,,
1981,30,russ warren,1951,,washington dc,davidson,north carolina,,
1997,30,leah gilliam,1967,,washington dc,rhinebeck,new york,,
1973,28,joe haske,1945,,washington dc,new york,new york,,
1997,27,paul d. miller,1970,,washington dc,new york,new york,,
1993,26,donna golden,1967,,washington dc,new york,new york,,
1975,25,john ford,1950,,washington dc,sacramento,california,,
1975,40,wanda westcoast,1935,seattle,washington dc,venice,california,,
2002,50,mark lapore,1952,tacoma,washington,chestnut hill,massachusetts,,
2004,47,jim hodges,1957,spokane,washington,new york,new york,,
1973,44,jo baer,1929,seattle,washington,new york,new york,,
2004,39,t.j. wilcox,1965,seattle,washington,new york,new york,,
1977,34,terry fox,1943,seattle,washington,san francisco,california,,
2004,34,cameron martin,1970,seattle,washington,brooklyn,new york,,
1975,32,terry fox,1943,seattle,washington,san francisco,california,,
1991,32,jessica stockholder,1959,seattle,washington,new york,new york,,
1997,32,t.j. wilcox,1965,seattle,washington,new york,new york,,
1989,29,scott sinkler,1960,seattle,washington,new york,new york,,
2004,27,wynne greenwood,1977,seattle,washington,brooklyn,new york,,
1979,33,dennis evans,1946,moxee,washington,seattle,washington,,
1991,51,chuck close,1940,monroe,washington,new york,new york,,
1979,39,chuck close,1940,monroe,washington,new york,new york,,
1977,37,chuck close,1940,monroe,washington,new york,new york,,
1981,43,dennis oppenheim,1938,mason city,washington,new york,new york,,
1977,39,dennis oppenheim,1938,mason city,washington,new york,new york,,
1981,54,edward kienholz,1927,fairfield,washington,hope,idaho,berlin,germany
1973,58,robert motherwell,1915,aberdeen,washington,new york,new york,,
2014,44,jennifer stein,1970,seattle,washington,new york,new york,and berlin,germany
2012,37,oscar tuazon,1975,seattle,washington,paris,france,,
2014,51,ben kinmont,1963,burlington,vermont,sebastopol,california,,
2010,35,richard aldrich,1975,hampton,virginia,brooklyn,new york,,
2002,46,tony cokes,1956,richmond,virginia,providence,rhode island,,
2004,34,katie grinnan,1970,richmond,virginia,los angeles,california,,
1993,51,robbie mccauley,1942,norfolk,virginia,new york,new york,,
1995,48,stephen mueller,1947,norfolk,virginia,new york,new york,,
1975,38,joseph clower,1937,norfolk,virginia,boulder,colorado,,
2014,29,kevin beasley,1985,lynchburg,virginia,new york,new york,,
1991,63,cy twombly,1928,lexington ,virginia,new york,new york,,
1991,40,sally mann,1951,lexington ,virginia,lexington,virginia,,
1995,67,cy twombly,1928,lexington,virginia,lexington,virginia,,
1973,44,cy twombly,1929,lexington,virginia,new york,new york,,
2000,29,kojo griffin,1971,farmville,virginia,atlanta,georgia,,
2012,35,dawn kasper,1977,fairfax,virginia,los angeles,california,,
2002,31,richard chartier,1971,alexandria,virginia,arlington,virginia,,
2010,24,tam tran,1986,hue,vietnam,memphis,tennessee,,
2000,34,t. kim-trang tran,1966,saigon,vietnam,los angeles,california,,
2004,38,tam van tran,1966,kontum,vietnam,redondo beach,california,,
1993,41,trinh t. minh-ha,1952,hanoi,vietnam,berkeley,california,,
1975,32,paul dillon,1943,newport,vermont,los angeles,california,,
2004,30,miranda july,1974,barre,vermont,los angeles,california,,
2002,28,miranda july,1974,barre,vermont,portland,oregon,,
2008,39,javier tellez,1969,valencia,venezuela,new york,new york,,
2002,43,arturo herrera,1959,caracas,venezuela,new york,new york,,
2000,43,annette lemieux,1957,norfolk,virginia,boston,massachusetts,,
2014,39,alex waterman,1975,portsmouth,virginia,new york,new york,,
2004,59,paul mccarthy,1945,salt lake city,utah,los angeles,california,,
1997,52,paul mccarthy,1945,salt lake city,utah,los angeles,california,,
1995,50,paul mccarthy,1945,salt lake city,utah,altadena,california,,
1985,47,robert hudson,1938,salt lake city,utah,cotati,california,,
2002,30,james buckhouse,1972,logan,utah,san francisco,california,,
1973,39,neil williams,1934,bluff,utah,new york,new york,,
2014,44,alma allen,1970,heber city,utah,joshua tree,california,,
2012,none,john kelsey,none,united states,united states,new york,new york,,
2012,none,lutz bacher,none,united states,united states,berkeley,california,,
2000,none,lutz bacher,none,united states,united states,berkeley,california,,
2006,66,jimmie durham,1940,united states,united states,berlin,germany,,
1973,51,jules olitski,1922,shchors,ukraine,new york,new york,,
1973,61,alexander liberman,1912,kiev,ukraine,new york,new york,,
1995,78,milton resnick,1917,bratslav,ukraine,new york,new york,,
2014,48,lucien castaing-taylor,1966,liverpool,england,boston,massachusetts,and paris,france
2014,82,pauline oliveros,1932,houston,texas,kingston,new york,,
2014,40,joshua mosley,1974,dallas,texas,philadelphia,pennsylvania,,
2010,47,edgar cleijne,1963,eindovern,netherlands,,,,
2010,53,ari marcopoulos,1957,amsterdam,netherlands,sonoma,california,,
2006,25,ryan trecartin,1981,webster,texas,new orleans,louisiana,,
1997,56,robert wilson,1941,waco,texas,new york,new york,,
1981,40,robert wilson,1941,waco,texas,new york,new york,,
2012,101,forrest bess,1911,texas,texas,texas,texas,,
1985,42,james surls,1943,terrell,texas,splendora,texas,,
1979,36,james suris,1943,terrell,texas,splendora,texas,,
1983,32,phillip maberry,1951,stamford,texas,garrison,new york,,
1977,32,james hill,1945,sherman,texas,houston,texas,,
2000,39,franco mondini-ruiz,1961,san antonio,texas,san antonio,texas,new york,new york
1993,38,donald moffett,1955,san antonio,texas,new york ,new york,,
2004,32,dario robleto,1972,san antonio,texas,san antonio,texas,,
1991,66,robert rauschenberg,1925,port arthur,texas,captiva,florida,new york,new york
1973,48,robert rauschenberg,1925,port arthur,texas,new york,new york,captiva island,florida
1975,33,george green,1942,paris,texas,dallas,texas,,
1995,43,nancy rubins,1952,naples,texas,topanga,california,,
2012,51,richard hawkins,1961,mexia,texas,los angeles,california,,
2014,59,gaylen gerber,1955,mcallen,texas,chicago,illinois,,
2000,54,james drake,1946,lubbock,texas,new york,new york,el paso,texas
1975,28,philip renteria,1947,laredo,texas,houston,texas,,
2012,68,mayo thompson,1944,houston,texas,california,california,,
1975,37,donald roller wilson,1938,houston,texas,fayetteville,arkansas,,
2012,37,jason moran,1975,houston,texas,new york ,new york,,
2004,34,emily jacir,1970,houston,texas,new york,new york,ramallah,palestine
2006,33,dawolu jabari anderson,1973,houston,texas,houston,texas,,
2006,33,jamal cyrus,1973,houston,texas,houston,texas,,
1983,32,melissa miller,1951,houston,texas,austin,texas,,
2006,31,robert pruitt,1975,houston,texas,houston,texas,,
2000,57,vernon fisher,1943,fort worth,texas,fort worth,texas,,
1973,45,james boynton,1928,fort worth,texas,houston,texas,,
1981,38,vernon fisher,1943,fort worth,texas,denton ,texas,,
2012,35,k8 hardy,1977,fort worth,texas,brooklyn,new york,,
1977,32,stephen a. davis,1945,fort worth,texas,san francisco,california,,
2000,31,brian fridge,1969,fort worth,texas,fort worth,texas,,
1991,54,celia alvarez munoz,1937,el paso,texas,arlington,texas,,
1991,51,luis jimenez,1940,el paso,texas,hondo,new mexico,,
1975,46,mel casas,1929,el paso,texas,san antonio,texas,,
1995,45,willie varela,1950,el paso,texas,el paso,texas,,
1993,43,willie varela,1950,el paso,texas,el paso,texas,,
1995,37,sam reveles,1958,el paso,texas,new york,new york,,
1973,33,luis jiminez,1940,el paso,texas,roswell,new mexico,,
1995,66,bessie harvey,1929,dallas,texas,georgia-alcoa,tennessee,,
2000,49,nic nicosia,1951,dallas,texas,dallas,texas,,
1983,32,nic nicosia,1951,dallas,texas,dallas,texas,,
1973,28,peter reginato,1945,dallas,texas,new york,new york,,
1985,38,robert therrien,1947,chicago,texas,los angeles,california,,
1989,30,ray smith,1959,brownsville,texas,new york,new york,mexico city,mexico
1983,44,max neuhaus,1939,beaumont,texas,new york,new york,,
1975,33,carolynn umlauf,1942,austin,texas,new york,new york,,
1973,30,robert wade,1943,austin,texas,dallas,texas,,
2000,51,kay rosen,1949,corpus christi,texas,gary,indiana,,
2008,57,leslie thornton,1951,oak ridge,tennessee,new york,new york,,
1995,44,leslie thornton,1951,oak ridge,tennessee,new york,new york,,
1995,65,robert ryman,1930,nashiville,tennessee,new york,new york,,
1977,47,robert ryman,1930,nashville,tennesee,new york,new york,,
1993,39,shu lea cheang,1954,taiwan,taiwan,new york,new york,,
1995,41,shu lea cheang,1954,,taiwan,new york,new york,,
1981,57,robert frank,1924,zurich,switzerland,nova scotia,canada,,
2006,33,urs fischer,1973,zurich,switzerland,zurich,switzerland,los angeles,california
1975,32,ursula schneider,1943,switzerland,switzerland,san francisco,california,,
2008,38,olaf breuning,1970,schaffhausen,switzerland,new york,new york,,
2014,43,véréna paravel,1971,neuchâtel,switzerland,boston,massachusetts,and paris,france
2008,37,carol bove,1971,geneva,switzerland,new york,new york,,
2008,64,olivier mosset,1944,bern,switzerland,tuscon,arizona,,
2002,35,lisa jevbratt,1967,vaxholm,sweden,san jose,california,,
2008,38,fia backstrom,1970,stockholm,sweden,new york,new york,,
2006,30,hanna liden,1976,stockholm,sweden,new york,new york,,
2014,37,emily sundblad,1977,dalsjöfors,sweden,new york,new york,,
2006,35,jennifer reeves,1971,colombo,sri lanka,new york,new york,,
1975,34,domingo barreres,1941,valencia,spain,jamaica plains,massachusetts,,
2004,36,joan leandre,1968,snt. counpalm,spain,barcelona,spain,,
2014,87,john mason,1927,madrid,spain,los angeles,california,,
1973,46,john mason,1927,madrid,spain,los angeles,california,,
2000,39,inigo manglano-ovalle,1961,madrid,spain,chicago,illinois,,
2004,32,ernesto caivano,1972,madrid,spain,new york,new york,,
2012,31,laida lertxundi,1981,bilbao,spain,los angeles,california,,
1993,45,francesc torres,1948,barcelona,spain,new york,new york,,
1989,41,francesc torres,1948,barcelona,spain,new york,new york,,
1997,22,roman anikushin,1975,moscow,soviet union,moscow,soviet union,,
1997,64,ilya kabakov,1933,dnepropetrovsk,soviet union,new york,new york,moscow,russia
1973,51,ray parker,1922,south dakota,south dakota,new york,new york,,
1975,54,jack jefferson,1921,lead,south dakota,san francisco,california,,
1979,48,bruce baillie,1931,aberdeen,south dakota,elizaville,new york,,
2006,32,kenya evans,1974,sumter,south carolina,houston ,texas,,
1975,29,frank faulkner,1946,sumber,south carolina,new york,new york,,
1973,31,ernest frazier,1942,duboise crossroads,south carolina,new york,new york,,
2008,39,rodney mcmillian,1969,columbia,south carolina,los angeles,california,,
1975,49,edward ross,1926,clinton,south carolina,roswell,georgia,,
2008,36,drew heitzler,1972,charleston,south carolina,los angeles,california,,
1975,31,charles f. gaines,1944,charleston,south carolina,new york,new york,,
2006,39,nicholas currie,1967,paisley,scotland,berlin,germany,,
2006,47,peter doig,1959,edinburgh,scotland,san francisco,california,,
2002,44,zoe beloff,1958,edinburgh,scotland,new york,new york,,
2012,50,michael clark,1962,aberdeen,scotland,london,england,new york,ny
2014,28,jacolby satterwhite,1986,columbia,south carolina,new york,new york,,
1995,83,agnes martin,1912,maklin,saskatchewan,taos,new mexico,,
1973,73,adja yunkers,1900,riga livonia,russia,new york,new york,,
1973,73,louise nevelson,1900,perislav poltava,russia,new york,new york,,
1973,56,milton resnick,1917,bratslav,russia,rifton,new york,,
1973,74,raphael soyer,1899,borisoglebsk tambov,russia,new york,new york,,
1995,42,joe gibbons,1953,providence,rhodes island,new york,new york,,
2006,53,joe gibbons,1953,providence,rhode island,malden ,massachusetts,,
2002,49,joe gibbons,1953,providence,rhode island,new york,new york,,
1983,38,stuart sherman,1945,providence,rhode island,new york,new york,,
1981,36,stuart sherman,1945,providence,rhode island,new york,new york,,
1979,35,anthony ramos,1944,providence,rhode island,new york,new york,,
1989,35,michael byron,1954,providence,rhode island,new york,new york,,
1979,34,stuart sherman,1945,providence,rhode island,new york,new york,,
2004,34,anne-marie schleiner,1970,providence,rhode island,boulder,colorado,,
1975,31,anthony ramos,1944,providence,rhode island,east providence,rhode island,,
1995,31,lawrence andrews,1964,providence,rhode island,new york,new york,,
1995,30,ellen gallagher,1965,providence,rhode island,boston,massachusetts,,
1995,25,christian schumann,1970,new port,rhode island,new york,new york,,
2010,45,ellen gallagher,1965,providence,rhode island,,,,
2000,47,joe gibbons,1953,providence,rhode island,new york,new york,,
2000,47,dawoud bey,1953,jamaica,queens,chicago,illinois,,
2002,28,chemi rosado seijo,1974,vega alta,puerto rico,san juan,puerto rico,,
1993,38,pepon osorio,1955,santurce,puerto rico,new york,new york,,
1981,48,rafael ferrer,1933,san juan,puerto rico,philadelphia,pennsylvania,,
1973,40,rafael ferrer,1933,san juan,puerto rico,philadelphia,pennsylvania,,
2002,36,javier cambre,1966,san juan,puerto rico,queens,new york,,
1985,34,pooh kaye,1951,san juan,puerto rico,new york,new york,,
1975,33,tony bechara,1942,san juan,puerto rico,new york,new york,,
1995,29,frances negron-muntaner,1966,san juan,puerto rico,philadelphia,pennsylvania,,
1989,34,cary smith,1955,ponce,puerto rico,farmington,connecticut,,
2014,41,pedro vélez,1973,bayamón,puerto rico,chicago,illinois,milwaukee,wisconsin
2014,32,radamés “juni” figueroa,1982,bayamón,puerto rico,san juan,puerto rico,,
2006,31,jesus 'bubu' negrón,1975,barceloneta,puerto rico,san juan,puerto rico,barceloneta,puerto rico
1983,32,edin velez,1951,arecibo,puerto rico,new york,new york,,
1997,58,antonio martorell,1939,anturce,puerto rico,cayey,puerto rico,new york,new york
2010,42,piotr uklanski,1968,warsaw,poland,new york,new york,and warsaw,poland
2010,40,ania soliman,1970,warsaw,poland,basel,switzerland,new york,new york
2000,57,krzysztof wodiczko,1943,warsaw,poland,new york,new york,cambridge,massachusetts
2004,37,aleksandra mir,1967,lublin,poland,new york,new york,,
2012,40,joanna malinowska,1972,gdynia,poland,new york,new york,,
1973,73,jack tworkov,1900,biala podlaska,poland,new york,new york,,
1981,81,jack tworkov,1900,biala,poland,new york,new york,provincetown,massachusetts
2014,43,miljohn ruperto,1971,manila,philippines,los angeles,california,,
2008,37,william cordova,1971,lima,peru,houston,texas,miami,florida
2000,38,lisa yuskavage,1962,philadelphia,pennsylvania,new york,new york,,
2010,36,sarah crowner,1974,philadelphia,pennsylvania,brooklyn,new york,,
2010,69,suzan frecon,1941,mexico,pennsylvania,new york,new york,,
1989,34,jeff koons,1955,york,pennsylvania,new york,new york,,
1989,32,mark innerst,1957,york,pennsylvania,new york,new york,newfoundland,pennsylvania
1979,36,alan sondheim,1943,wilkes-barre,pennsylvania,irvine,california,,
1977,34,alan sondheim,1943,wilkes-barre,pennsylvania,new york,new york,,
1973,47,robert hartman,1926,sharon,pennsylvania,berkeley,california,,
1973,35,joan moment,1938,sellersville,pennsylvania,sacramento,california,,
1991,67,philip pearlstein,1924,pittsburgh,pennsylvania,new york,new york,,
2004,64,mel bochner,1940,pittsburgh,pennsylvania,new york,new york,,
1979,55,philip pearlstein,1924,pittsburgh,pennsylvania,new york,new york,,
2002,50,ken feingold,1952,pittsburgh,pennsylvania,new york,new york,,
1973,49,philip pearlstein,1924,pittsburgh,pennsylvania,new york,new york,,
2002,48,peggy ahwesh,1954,pittsburgh,pennsylvania,brooklyn,new york,,
2000,40,chris sullivan,1960,pittsburgh,pennsylvania,chicago,illinois,,
1973,39,ray saunders,1934,pittsburgh,pennsylvania,oakland,california,,
1979,39,mel bochner,1940,pittsburgh,pennsylvania,new york,new york,,
1977,37,mel bochner,1940,pittsburgh,pennsylvania,new york,new york,,
1989,37,ken feingold,1952,pittsburgh,pennsylvania,new york,new york,,
1993,36,peter sellars,1957,pittsburgh,pennsylvania,los angeles,california,,
1975,34,salvatore j. la rosa,1941,pittsburgh,pennsylvania,miami,florida,,
1985,33,ken feingold,1952,pittsburgh,pennsylvania,minneapolis,minnesota,,
1983,31,ken feingold,1952,pittsburgh,pennsylvania,minneapolis,minnesota,,
1983,28,daniel walworth,1955,pittsburgh,pennsylvania,new york,new york,,
2004,32,erick swenson,1972,phoenixville,pennsylvania,dallas,texas,,
2002,60,alfred guzzetti,1942,philadelphia,pennsylvania,brookline,massachusetts,,
2000,57,jill godmilow,1943,philadelphia,pennsylvania,south bend,indiana,,
1975,54,thomas chimes,1921,philadelphia,pennsylvania,merion,pennsylvania,,
2008,51,karen kilimnik,1957,philadelphia,pennsylvania,philadelphia,pennsylvania,,
1981,48,william anastasi,1933,philadelphia,pennsylvania,new york,new york,,
1991,46,joseph santore,1945,philadelphia,pennsylvania,new york,new york,,
2008,46,lisa sigal,1962,philadelphia,pennsylvania,new york,new york,,
1993,45,pat ward williams,1948,philadelphia,pennsylvania,santa monica,california,,
1983,44,barry gerson,1939,philadelphia,pennsylvania,new york,new york,,
2004,43,jim trainor,1961,philadelphia,pennsylvania,chicago,illinois,,
1981,42,barry gerson,1939,philadelphia,pennsylvania,new york,new york,,
2000,39,ruth leitman,1961,philadelphia,pennsylvania,atlanta,georgia,,
1985,38,peter rose,1947,philadelphia,pennsylvania,philadelphia,pennsylvania,,
1973,37,sidney goodman,1936,philadelphia,pennsylvania,elkins park,pennsylvania,,
1993,37,marco williams,1956,philadelphia,pennsylvania,los angeles,california,,
2006,36,zoe strauss,1970,philadelphia,pennsylvania,philadelphia,pennsylvania,,
1975,34,"john e. dowell,jr.",1941,philadelphia,pennsylvania,philadelphia,pennsylvania,,
2006,33,spencer sweeney,1973,philadelphia,pennsylvania,new york,new york,,
1981,33,bruce robbins,1948,philadelphia,pennsylvania,new york,new york,,
1981,33,judith shea,1948,philadelphia,pennsylvania,new york,new york,,
2006,32,jennifer allora,1974,philadelphia,pennsylvania,san juan,puerto rico,,
1979,31,barbara schwartz,1948,philadelphia,pennsylvania,new york,new york,,
1979,31,lois lane,1948,philadelphia,pennsylvania,new york,new york,,
1993,31,karen kilimnik,1962,philadelphia,pennsylvania,philadelphia,pennsylvania,,
2004,31,barnaby furnas,1973,philadelphia,pennsylvania,brooklyn,new york,,
1975,30,elyn zimmerman,1945,philadelphia,pennsylvania,berkeley,california,,
1975,30,ken tisa,1945,philadelphia,pennsylvania,new york,new york,,
1975,27,barbara schwartz,1948,philadelphia,pennsylvania,new york,new york,,
1975,26,john dickson,1949,philadelphia,pennsylvania,,washington dc,,
2004,52,dike blair,1952,new castle,pennsylvania,new york,new york,,
1973,44,neil welliver,1929,millville,pennsylvania,new york,new york,,
1979,30,christa maiwald,1949,media,pennsylvania,new york,new york,,
1981,49,duane michals,1932,mckeesport,pennsylvania,new york,new york,,
1977,45,duan michals,1932,mckeesport,pennsylvania,new york ,new york,,
1981,32,steve keister,1949,lancaster,pennsylvania,new york,new york,,
1991,33,keith haring,1958,kutztown,pennsylvania,new york,new york,,
1983,25,keith haring,1958,kutztown,pennsylvania,new york,new york,,
2002,56,maryanne amacher,1946,kane,pennsylvania,kingston,new york,,
2008,61,sherrie levine,1947,hazleton,pennsylvania,santa fe,new mexico,new york,new york
1985,38,sherrie levine,1947,hazleton,pennsylvania,new york,new york,,
1989,42,sherrie levine,1947,hazelton,pennsylvania,new york,new york,,
1981,35,alice aycock,1946,harrisburg,pennsylvania,new york,new york,,
1979,33,alice aycock,1946,harrisburg,pennsylvania,new york,new york,,
1979,33,william beckley,1946,hamburg,pennsylvania,new york,new york,,
2006,35,martha colburn,1971,gettysburg,pennsylvania,new york,new york,amsterdam,netherlands
1973,59,charles schucker,1914,gap,pennsylvania,brooklyn,new york,,
1993,42,allan sekula,1951,erie,pennsylvania,los angeles,california,,
1993,34,anne lobst,1959,danville,pennsylvania,new york,new york,,
1973,34,peter bradley,1939,connellsville,pennsylvania,new york,new york,,
1989,33,mel ziegler,1956,campbelltown,pennsylvania,new york,new york,,
1989,42,andrew spence,1947,bryn mawr,pennsylvania,new york,new york,,
1975,28,andrew spence,1947,bryn mawr,pennsylvania,los angeles,california,,
2012,30,latoya ruby frazier,1982,braddock,pennsylvania,new jersey,new jersey,,
1985,36,richard prince,1949,panama canal zone,panama canal zone,new york,new york,,
2004,55,richard prince,1949,panama canal zone,panama canal,rensselaerville,new york,,
1997,48,richard prince,1949,panama canal,panama canal,rensselaerville,new york,,
2010,48,huma bhabha,1962,karachi,pakistan,poughkeepsie,new york,,
1997,28,shahzia sikander,1969,lahore,pakistan,houston,texas,,
2000,39,ken goldberg,1961,bethlehem,pennsylvania,berkeley,california,,
2014,67,sherrie levine,1947,hazelton,pennsylvania,new york,new york,,
1995,54,helen marden,1941,pittsburgh,pennsylvania,new york,new york,hydra,greece
1995,43,margie strosser,1952,pittsburgh,pennsylvania,philadelphia,pennsylvania,,
1995,41,peggy ahwesh,1954,pittsburgh,pennsylvania,new york,new york,,
2014,75,louise fishman,1939,philadelphia,pennsylvania,new york,new york,,
2014,54,dan walsh,1960,philadelphia,pennsylvania,new york,new york,,
1973,34,louise fishman,1939,philadelphia,pennsylvania,new york,new york,,
2014,63,allan sekula,1951,erie,pennsylvania,los angeles,california,,
2010,60,julia fish,1950,toledo,oregon,chicago,illinois,,
2010,35,alex hubbard,1975,toledo,oregon,brooklyn,new york,,
2010,40,storm tharp,1970,ontario,oregon,portland,oregon,,
1975,35,john wenger,1940,salem,oregon,albuquerque,new mexico,,
1981,59,richard diebenkorn,1922,portland,oregon,santa monica,california,,
1991,38,carrie mae weems,1953,portland,oregon,northampton,massachusetts,,
2004,36,sandra gibson,1968,portland,oregon,new york,new york,,
1975,28,john scott roloff,1947,portland,oregon,lexington,kentucky,,
1973,46,kenneth snelson,1927,pendleton,oregon,new york,new york,,
1981,36,richard thompson,1945,mcminnville,oregon,albuquerque,new mexico,,
1975,30,richard thompson,1945,mcminnville,oregon,albuquerque,new mexico,,
1981,35,michael brewster,1946,eugene,oregon,venice,california,,
1973,36,john clem clarke,1937,bend,oregon,new york,new york,,
2014,72,fred lonidier,1942,lakeview,oregon,san diego,california,,
2002,37,julie moos,1965,ottawa,ontario,birmingham,alabama,,
2006,48,amy blakemore,1958,tulsa,oklahoma,houston,texas,,
1981,38,larry clark,1943,tulsa,oklahoma,new york,new york,,
2000,47,petah coyne,1953,oklahoma city,oklahoma,new york,new york,,
1985,39,kim macconnel,1946,oklahoma city,oklahoma,encinitas,california,,
1981,35,kim macconnel,1946,oklahoma city,oklahoma,encinitas,california,,
1979,33,kim macconnel,1946,oklahoma city,oklahoma,escondido,california,,
1975,29,kim robert macconnel,1946,oklahoma city,oklahoma,cardiff,california,,
2002,28,trenton doyle hancock,1974,oklahoma city,oklahoma,houston,texas,,
2000,26,trenton doyle hancock,1974,oklahoma city,oklahoma,paris,texas,,
2002,31,jeremy blake,1971,fort sill,oklahoma,new york,new york,,
2000,29,jeremy blake,1971,fort sill,oklahoma,new york,new york,,
2010,46,scott short,1964,marion,ohio,chicago,illinois,,
2010,31,curtis mann,1979,dayton,ohio,chicago,illinois,,
1981,45,hollis frampton,1936,wooster,ohio,eaton,new york,,
1979,43,hollis frampton,1936,wooster,ohio,eaton,new york,,
1975,31,george miller,1944,wooster,ohio,culver city,california,,
2004,39,andrea bowers,1965,wilmington,ohio,los angeles,california,,
1979,37,donna dennis,1942,springfield,ohio,new york,new york,,
2004,43,catherine opie,1961,sandusky,ohio,los angeles,california,,
1995,34,catherine opie,1961,sandusky,ohio,los angeles,california,,
1973,51,richard mcdermott miller,1922,new philadelphia,ohio,new york,new york,,
1977,35,david true,1942,marietta,ohio,new york,new york,,
2012,47,kevin jerome everson,1965,mansfield,ohio,charlottesville,virginia,,
2008,43,kevin jerome everson,1965,mansfield,ohio,charlottesville,virginia,,
2006,76,sturtevant,1930,lakewood,ohio,paris,france,,
1985,35,jenny holzer,1950,gallipolis,ohio,new york,new york,,
1983,33,jenny holzer,1950,gallipolis,ohio,new york,new york,,
2004,34,laura owens,1970,euclid,ohio,los angeles,california,,
1981,35,charlse arnoldi,1946,dayton,ohio,venice,california,,
1973,42,fletcher benton,1931,columbus,ohio,san francisco,california,,
1997,38,bob paris,1959,columbus,ohio,new york,new york,,
2002,37,keith evans,1965,columbus,ohio,san francisco,california,,
1975,29,george bolling,1946,columbus,ohio,san jose,california,,
2000,29,jennifer reeder,1971,columbus,ohio,chicago,illinois,,
1975,27,david jones,1948,columbus,ohio,san francisco,california,,
1993,67,nancy spero,1926,cleveland,ohio,new york,new york,,
1993,48,mac wellman,1945,cleveland,ohio,new york,new york,,
1991,47,allen ruppersberg,1944,cleveland,ohio,new york,new york,,
1989,45,chip lord,1944,cleveland,ohio,santa cruz,california,,
1991,44,bill fontana,1947,cleveland,ohio,emeryville,california,,
1983,37,howard fried,1946,cleveland,ohio,san francisco,california,,
